X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.119..味噌汁.1週間に.杯,X.74..朝.1週間に.回（淡色野菜、きのこ類）,X.42..朝.一回に食べる量を選んでください（肉・肉加工品類）,X.34..あなたは.他の人と比べて.飲み物を飲む量が多い方だと思いますか.,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.181..冷たいものをとると.体の調子が悪くなりますか.,X.42..あなたは.食事の時に飲み物を飲みますか,X.88..あなたは.便通について.普段の状態に近いものを選んでください.,Label
3,1,0,1,0,0,0,0,0,0,2,0,0,4,1615.95
0,0,0,3,3,2,5,0,0,3,0,2,0,3,2703.6625
1,1,1,2,2,1,2,0,1,3,1,3,0,1,1470.7375
3,3,0,6,1,4,7,5,2,1,2,0,0,2,3796.9
2,2,0,3,2,3,7,3,2,2,2,1,1,2,3605.9625
0,0,1,2,2,2,6,4,1,3,2,0,0,2,2262.65
4,4,2,6,2,1,1,0,0,1,2,1,0,1,3375.4875
3,3,1,4,2,1,2,0,0,3,0,0,0,4,2618.0625
1,1,0,0,2,1,1,3,2,2,2,2,0,1,2227.375
4,3,2,4,2,2,7,5,1,2,2,0,2,2,2990.4125
1,2,5,3,2,0,0,0,0,1,3,0,1,1,1548.775
2,3,1,7,1,2,6,0,0,2,1,1,0,4,3689.76875
4,4,0,0,2,2,0,0,1,1,0,0,0,2,3126.9
2,2,0,2,0,2,5,3,0,0,2,0,1,4,2799.9
0,0,0,4,3,3,10,0,0,4,2,1,1,2,1732.725
2,2,0,3,3,2,11,0,0,3,1,1,1,3,2863.4125
1,1,0,4,1,0,0,0,1,2,1,2,0,3,1458.8375
2,2,1,5,3,2,6,3,1,2,1,2,0,2,3111.925
2,0,1,3,2,1,5,0,0,2,0,2,1,1,1988.775
1,1,2,2,2,2,14,2,2,3,0,0,0,2,2291.2625
2,0,0,3,4,2,6,5,0,4,0,1,2,4,1660.7375
4,3,0,6,0,0,0,0,0,1,2,1,0,2,2254.1125
1,0,0,2,3,2,6,0,0,3,0,2,1,4,1779.675
3,0,0,5,4,2,7,0,1,3,1,3,0,4,3121.7375
3,2,0,0,2,0,1,0,0,2,2,1,1,2,4333.05
2,3,0,6,2,2,7,0,0,2,1,1,3,4,3269.525
2,1,1,4,3,1,3,0,1,3,1,0,1,2,2175.4375
1,1,0,2,3,1,3,5,1,3,1,2,2,1,2511.25
3,3,1,3,3,1,0,0,0,0,1,3,0,2,2863.6625
3,3,0,4,1,1,5,7,1,1,0,1,0,2,3968.6375
3,3,0,4,1,1,1,0,2,2,2,0,1,1,4195.0625
4,0,0,3,0,2,7,7,0,1,0,0,0,3,2246.1125
1,2,3,1,3,1,2,0,0,3,0,0,2,2,1154.45
2,1,0,3,3,2,3,0,1,3,1,0,0,4,1595.725
1,1,1,3,1,3,6,3,1,1,2,1,0,2,3437.6875
2,2,1,5,2,2,4,0,2,1,1,0,0,2,3577.6375
2,2,0,4,1,0,2,0,0,2,2,0,0,3,2846.225
3,3,1,5,2,1,4,4,0,2,3,1,1,2,3399.85
1,2,1,3,4,2,9,5,0,2,2,0,0,2,2269.225
1,2,0,1,3,1,3,2,0,4,2,1,2,3,1606.725
2,2,0,3,4,2,5,3,1,3,1,0,0,2,3341.0125
1,0,1,3,3,2,5,3,1,3,1,0,0,3,2467.3625
0,0,0,3,4,2,6,0,0,4,0,0,0,2,2090.4375
2,1,0,3,0,2,6,1,2,0,1,0,0,3,2646.675
1,0,1,4,2,2,7,3,2,3,1,0,1,2,2786.9125
2,1,0,2,2,2,7,0,0,2,1,1,0,2,2422.675
3,3,0,3,2,1,8,2,1,2,2,0,1,2,2938.5375
3,2,0,5,2,0,0,0,1,2,1,0,1,4,2174.5
2,0,1,4,4,2,4,0,0,4,1,2,0,3,2067.0625
1,1,0,3,4,2,5,2,1,3,0,1,2,4,1980.5125
1,2,2,2,2,0,0,7,0,2,1,2,0,1,1834.4375
3,3,1,5,2,0,0,0,0,2,1,0,1,3,2567.775
2,2,6,0,2,0,0,0,2,3,1,2,1,2,1327.3875
4,0,0,5,1,1,7,0,0,1,0,4,2,3,1606.425
0,5,1,3,2,1,4,4,2,2,1,0,0,2,2378.9875
4,5,0,5,1,2,7,5,1,2,0,0,2,2,2767.9125
2,3,0,3,1,2,4,1,0,1,1,1,0,2,2183.9
1,1,1,3,2,2,5,0,1,2,0,0,0,2,1841.225
1,1,2,2,1,2,2,0,0,2,0,0,1,2,2102.0875
1,2,2,4,0,2,5,0,0,3,0,0,0,3,2499.3375
0,0,0,0,3,1,1,0,0,3,1,2,1,4,1161.825
2,2,1,4,3,2,7,0,1,2,0,1,1,2,2075.0375
1,1,1,2,2,2,4,4,2,2,2,1,1,2,3230.6375
1,1,1,5,2,2,7,7,1,1,2,1,0,1,2580.48125
2,2,0,2,1,2,7,7,1,2,2,0,0,2,2383.5125
2,1,1,5,2,2,6,0,0,2,1,0,1,3,2591.3625
1,1,0,5,3,2,6,7,1,1,3,1,0,1,2885.4875
2,0,1,6,1,3,5,1,0,3,1,1,0,4,2096.2375
2,2,1,5,1,1,4,3,1,2,2,0,0,3,2195.0375
1,2,0,1,2,2,5,0,1,1,0,1,1,4,2040.4625
2,1,0,5,3,2,6,5,1,2,2,0,0,2,2432.775
2,0,3,5,1,0,1,0,0,3,2,1,1,3,1669.0625
2,0,1,3,1,0,2,0,0,3,2,0,2,4,1838.2125
3,1,1,2,2,2,5,1,1,2,1,1,1,4,2455.5125
0,2,0,4,1,2,1,0,0,3,0,0,1,1,2179.8625
2,2,0,4,2,1,3,1,1,3,1,3,0,2,1943.7875
2,3,0,3,2,0,0,1,1,3,1,0,2,2,3019.075
2,2,1,4,2,2,6,4,0,1,1,1,0,2,2955.7375
0,0,1,3,4,1,2,0,0,4,1,2,0,2,1714.25
3,3,1,3,1,2,7,0,0,2,1,0,0,4,2234.575
0,0,0,0,2,1,2,2,1,4,1,1,2,2,2218.175
1,0,0,4,2,1,4,0,0,2,2,0,0,4,1610.6
2,2,1,3,1,2,7,0,0,2,3,2,1,2,2111.15
0,0,1,3,1,2,4,0,1,1,0,3,0,2,1882.4875
1,0,0,0,3,2,6,0,0,4,1,1,3,2,1692.925
2,1,0,4,3,1,2,0,0,3,2,0,0,2,2296.575
3,0,2,3,2,2,6,0,0,3,1,0,1,2,2347.9125
1,1,1,3,2,0,1,0,1,3,1,0,1,2,1262.225
1,1,1,3,3,1,3,0,0,3,1,0,0,2,2692.79375
2,2,1,5,2,2,6,1,1,2,3,0,1,2,2279.825
3,3,0,1,3,1,2,5,0,2,2,0,0,4,3618.7125
2,2,0,4,2,2,5,0,0,2,2,0,0,2,3110.625
2,2,0,3,0,2,5,3,1,3,1,0,1,4,1564.175
1,1,1,3,2,2,4,0,0,3,2,2,2,2,3487.5875
3,2,0,4,4,1,1,0,0,3,1,1,1,2,3886.175
2,1,0,5,1,2,2,0,0,2,0,0,0,2,3475.4375
3,3,0,6,1,2,8,0,0,2,1,0,2,4,3075.375
1,2,0,2,1,0,2,0,1,2,1,0,0,1,2348.2625
2,1,2,4,1,1,3,0,2,4,0,2,1,3,3002.7875
1,1,0,5,3,2,4,0,1,4,1,2,0,2,1495.6375
2,1,1,5,2,1,1,7,0,2,1,0,0,2,1933.3
3,3,1,4,2,0,1,0,2,4,1,0,1,2,1943.45
3,2,0,3,2,2,4,0,0,3,2,0,0,1,2126.5625
3,2,2,2,2,1,3,0,1,1,1,2,0,1,2761.4
1,2,1,4,3,2,4,2,1,2,2,3,0,2,3076.4
2,0,0,4,2,1,3.5,0,0,3,0,0,0,3,1919.4125
1,1,0,4,1,3,10,5,1,2,2,3,1,2,3173.35
3,0,0,3,3,1,2,5,1,3,1,0,0,3,2693.925
3,2,0,3,2,2,2,0,2,1,1,0,0,2,2567.275
0,1,0,0,4,0,2,4,1,4,0,0,0,3,1886.9
1,1,0,3,4,2,5,0,1,4,0,0,1,2,2490.2875
3,3,0,2,1,2,5,3,2,2,0,1,0,2,3288.1625
3,0,2,3,1,1,0.5,0,0,1,1,0,0,0,1379.725
5,4,1,4,2,2,3,0,1,3,1,1,0,2,3198.5875
2,2,3,3,2,1,4,4,1,1,3,2,0,2,2499.725
2,1,4,1,1,1,2,0,1,3,1,0,1,3,3352.0625
3,3,0,6,1,1,3,0,0,1,1,1,0,2,2486.5375
2,1,0,4,1,1,3,3,1,1,1,0,1,2,3656.3375
2,2,0,2,2,1,2,0,1,1,0,0,2,3,3726.7375
3,3,0,0,0,0,1,0,0,1,1,0,0,1,3368.25
2,1,1,0,2,2,5,0,1,3,1,3,1,3,2278.625
3,4,0,3,1,1,2,0,0,2,2,0,1,2,2526.4125
0,0,0,3,0,0,0,0,1,3,0,0,0,4,2271
3,3,0,1,4,1,3,7,1,2,2,1,1,3,4278.1625
1,1,2,3,0,2,7,0,1,2,1,2,2,1,2827.425
1,1,0,5,4,0,0,0,0,2,0,0,1,2,1768.0625
1,1,1,5,2,1,3,0,1,2,0,1,0,1,2578.625
2,2,0,3,2,1,2,0,0,3,0,1,1,2,1690.875
3,3,0,3,3,4,10,7,1,3,2,0,0,2,3963.01875
2,2,0,3,2,2,14,2,1,3,2,2,3,2,2828.4125
1,1,0,5,3,1,2,0,1,3,1,1,0,2,2083.05
1,0,0,2,4,1,3,0,2,4,1,1,1,2,2194.5125
1,3,0,4,2,2,6,0,0,1,0,0,0,2,1700.6125
4,3,1,0,1,1,2,3,2,1,1,1,0,2,2580.3
2,1,0,5,2,2,6,0,1,3,2,0,1,3,2835.41875
0,2,0,3,3,2,7,0,0,3,1,3,1,3,2016.225
4,2,1,7,1,3,15,0,0,1,2,1,0,2,3701.6
2,2,0,3,3,2,4,5,1,3,1,1,1,2,2285.1
5,4,1,5,4,2,5,0,1,3,1,0,1,3,3401.4875
1,0,0,4,0,0,1,2,2,2,1,1,3,4,1679.25
1,1,0,4,2,4,7,7,0,4,0,2,3,2,2526.5875
2,1,1,4,2,2,3,0,0,2,1,0,2,3,2113.3125
1,1,3,2,2,2,5,0,2,3,1,0,1,4,2214.95
1,0,0,2,1,1,4,7,0,2,2,0,1,2,2376.8
5,3,0,7,0,2,10,0,2,0,0,0,1,1,4844.025
2,1,0,3,3,2,5,0,0,3,0,0,0,2,1950.025
1,1,1,6,0,2,7,0,0,0,0,0,0,1,3721.9875
1,0,1,0,2,0,1,0,0,4,1,1,1,2,1765.3375
5,6,0,3,1,2,5,0,0,0,1,0,0,2,4043.7
3,2,0,3,1,1,5,0,0,1,1,0,0,1,2691.55
2,3,0,3,2,0,1,0,1,2,1,1,1,2,3325.1125
2,2,0,5,1,1,2,0,0,1,1,1,1,4,2365.925
1,2,2,1,1,2,5,4,0,2,2,0,2,3,3523.3125
1,1,0,3,3,1,3,0,0,2,1,0,1,0,2271.1375
2,2,1,5,2,2,5,7,1,1,2,0,1,2,4967.95625
1,1,0,4,2,2,5,0,1,3,0,1,3,4,2033.075
1,1,1,4,3,1,3,4,1,3,2,1,0,2,3993.9
3,3,0,5,1,2,4,0,0,1,2,1,0,2,3640.575
3,2,0,4,2,2,5,5,1,2,1,1,1,2,3289.025
1,1,0,3,3,1,3,2,1,3,1,1,0,1,1360.025
3,2,1,2,0,0,0,0,0,0,1,0,2,2,2041.35
4,2,0,4,2,2,7,5,1,2,2,1,0,2,2935.1875
2,4,3,2,0,2,4,3,1,2,2,0,0,3,3431.875
2,1,0,2,3,2,5,0,0,2,2,3,2,3,1871.625
1,1,0,3,2,0,0,0,0,2,0,1,0,2,2482.7875
3,2,1,2,2,1,1,0,0,2,2,0,0,2,2737.025
1,0,1,2,4,2,5,0,1,4,1,2,1,1,1453.525
2,0,2,1,3,0,1,0,0,2,1,3,0,1,1965.3375
4,3,2,5,1,2,5,2,1,2,1,0,0,0,2801.1625
2,2,1,3,2,1,4,2,1,3,2,2,2,3,2891.2125
0,0,0,3,2,1,3,0,0,2,0,1,1,2,1468.9125
3,1,0,1,2,2,6,0,0,3,0,0,3,3,1494.5875
1,0,0,3,3,2,3,0,0,3,1,2,0,2,1782.2
2,1,1,5,3,1,3,2,1,3,1,1,0,3,2361.85
0,3,0,4,1,2,7,0,2,1,1,1,1,2,3428.1375
3,2,0,3,2,2,3,0,0,3,1,0,0,3,2003.1
2,2,1,1,2,1,5,5,1,1,1,0,1,3,3034.3875
1,0,0,5,3,1,3,0,0,3,1,2,0,3,1772.625
3,1,0,5,1,2,5,0,1,1,1,0,0,2,1947.75
2,2,1,5,2,1,2,1,2,1,2,0,0,2,2828.875
1,1,0,2,1,2,3,0,0,3,1,1,1,2,2254.925
2,2,0,5,2,2,3,0,0,2,2,0,1,2,3440.7375
1,0,1,2,3,3,12,0,2,1,1,2,3,1,2181.2
2,2,0,2,2,1,1,0,0,3,0,1,2,3,1408.9625
1,1,0,3,2,3,6,5,0,2,2,0,2,2,1961.325
3,2,0,5,2,2,4,0,0,2,1,0,1,4,1886.6625
2,1,1,5,2,2,7,0,0,2,1,1,1,2,1886.1
4,4,2,4,1,2,4,2,1,2,2,0,0,3,2426.2
3,2,0,2,1,2,6,2,2,3,1,0,1,4,3280.0625
1,1,2,4,4,1,2,0,0,4,1,1,0,3,1685.4625
5,3,0,0,2,2,6,1,1,3,1,0,0,4,3437.875
3,1,1,3,2,1,3,0,0,3,0,3,1,4,2424.8
2,2,1,6,1,2,6,1,1,1,2,0,0,2,2414.2625
3,3,0,3,0,2,7,0,0,2,0,0,2,3,2078.3
2,1,0,0,2,2,5,4,1,2,1,2,1,1,2027.9125
2,2,0,5,2,2,3,2,1,2,1,0,0,1,3582.1875
3,2,0,1,1,2,7,0,0,3,0,2,2,2,2124.1875
2,1,0,1,2,3,0,0,0,1,2,1,1,4,3466.9625
3,2,1,4,3,2,5,4,1,2,2,1,0,2,2933.375
1,1,0,5,3,2,5,1,2,3,0,1,1,2,1850.4125
2,2,3,5,0,1,2,4,2,0,2,0,0,2,3163.8
2,2,0,3,0,2,3,2,1,2,2,0,0,2,3169.975
2,1,1,4,3,3,5,5,1,2,2,1,0,2,3142.325
4,4,1,1,2,2,7,7,2,2,2,3,0,2,4011.5125
1,2,0,1,2,0,3,0,0,3,0,0,1,2,1949.425
3,1,3,0,1,2,7,0,0,3,1,0,2,2,3835.6375
2,2,2,2,1,2,8,3,1,1,1,0,0,2,2964.525
1,0,2,2,4,2,3,5,1,4,1,1,1,3,1733.7375
1,2,1,5,4,2,3,0,0,3,2,0,0,4,2661.4375
2,3,0,3,1,2,4,0,0,1,1,0,0,2,2951.3875
2,0,1,4,1,1,2,0,0,1,1,1,1,2,1456.6125
2,2,0,5,0,2,5,1,2,0,2,0,0,2,3793.1625
3,2,2,4,2,2,5,1,2,2,3,0,0,2,3108.65
3,2,1,5,3,2,5,1,1,2,1,0,1,2,2942.9
1,1,0,5,1,1,1,4,0,2,1,0,0,1,1968.1375
1,1,0,6,2,2,0,0,3,3,0,0,0,3,2370.375
2,2,1,3,3,1,2,1,0,2,1,1,0,2,2183.3375
2,3,0,4,2,1,1,0,2,1,1,2,1,4,3197.75
4,2,1,3,2,1,2,0,1,2,1,0,1,3,2262.6875
2,2,0,0,0,3,5,0,0,0,2,0,2,2,2554.2125
3,1,1,5,3,3,10,4,1,2,1,0,1,2,1996.7
3,2,0,3,2,0,0,0,1,1,0,1,0,4,1954.8875
3,4,0,3,2,2,4,0,0,1,1,1,2,2,3686.35
1,0,0,3,1,3,5,5,1,3,2,2,0,2,1828.6125
1,3,5,3,4,0,2,0,0,3,0,0,2,3,2770.275
3,4,1,1,1,1,5,2,1,1,1,1,2,2,2877.3625
3,3,0,3,2,0,0,0,0,1,2,3,1,1,2400.3375
1,0,1,1,3,2,2,0,2,3,1,0,1,3,1959.3625
1,1,1,3,2,2,7,1,0,3,1,1,0,2,2644.65
2,2,0,6,2,2,6,7,1,3,2,3,0,2,3031.15
0,0,0,2,1,1,1,0,1,3,0,1,1,4,1709.9125
3,2,0,4,0,0,3,2,1,1,1,1,0,2,3606.525
2,2,0,2,2,1,1,0,0,2,1,0,1,2,2339.9375
2,2,0,1,3,3,10,3,1,3,1,0,1,2,2434.55
2,2,0,4,1,2,5,0,2,1,0,0,0,3,2679.65
3,2,0,3,0,2,7,0,1,2,2,0,0,3,2645.225
1,0,0,4,3,2,3,0,1,4,2,0,1,2,2717.65
3,3,0,7,2,2,6,0,0,1,1,1,1,4,2812.275
1,1,0,3,1,2,3,1,1,2,1,0,1,3,2102.65
4,2,0,6,0,1,4,1,0,0,2,0,1,3,3598.55
3,2,0,5,2,3,6,0,0,3,1,0,1,4,2817.675
3,3,0,2,2,1,7,0,1,2,1,1,0,1,4036.8625
3,4,2,2,0,0,0,3,2,2,2,1,2,2,3744.65
2,2,1,1,2,2,5,0,0,1,1,1,2,4,2913.75
2,1,0,3,3,1,2,0,0,3,1,1,0,2,1844.475
2,2,0,2,3,1,2,0,0,3,2,0,1,2,2086.84375
3,2,1,1,2,1,2,0,0,2,2,2,2,2,2441.5
1,2,0,5,0,2,5,0,0,0,2,3,0,2,2379.4875
1,0,1,3,3,2,5,0,1,4,1,0,1,3,2359.1125
3,2,0,4,2,2,5,1,1,1,1,1,0,4,3440.875