X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.69..昼.一回に食べる量を選んでください（緑黄色野菜）,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.45..あなたは.健康を意識して水分を摂るようにしていますか,Label
1,3,1,0,0,0,1,2,1,1056.45
3,0,0,0,3,2,1,0,1,1537.2375
2,1,1,1,2,1,0,1,1,587.825
6,3,3,0,1,4,2,2,0,1873.575
3,2,2,0,2,3,2,2,1,1955.6125
2,0,0,1,2,2,1,2,2,907.8125
6,4,4,2,2,1,1,2,0,2171.6125
4,3,3,1,2,1,0,0,1,1823.8375
0,1,1,0,2,1,2,2,1,724.7
4,4,3,2,2,2,1,2,1,1870.2875
3,1,2,5,2,0,3,3,2,1075.725
7,2,3,1,1,2,1,1,0,2098.10625
0,4,4,0,2,2,1,0,1,1775
2,2,2,0,0,2,2,2,0,2080.075
4,0,0,0,3,3,2,2,2,660.65
3,2,2,0,3,2,1,1,1,1600.5875
4,1,1,0,1,0,1,1,1,498.5
5,2,2,1,3,2,1,1,0,1580.25
3,2,0,1,2,1,1,0,1,1037.3
2,1,1,2,2,2,0,0,1,839.95
3,2,0,0,4,2,0,0,1,642.375
6,4,3,0,0,0,2,2,2,1654.6875
2,1,0,0,3,2,1,0,1,812.4125
5,3,0,0,4,2,1,1,1,1556.2875
0,3,2,0,2,0,3,2,0,3307.9125
6,2,3,0,2,2,1,1,1,2227.7625
4,2,1,1,3,1,2,1,2,1229.775
2,1,1,0,3,1,1,1,1,1273.0875
3,3,3,1,3,1,1,1,0,1881.325
4,3,3,0,1,1,0,0,0,2823.4625
4,3,3,0,1,1,2,2,1,2247
3,4,0,0,0,2,0,0,0,1179.1125
1,1,2,3,3,1,0,0,2,713.65
3,2,1,0,3,2,2,1,1,823.8
3,1,1,1,1,3,2,2,1,1809.9875
5,2,2,1,2,2,1,1,1,1692.4625
4,2,2,0,1,0,3,2,1,2117.275
5,3,3,1,2,1,3,3,1,1883.6625
3,1,2,1,4,2,2,2,2,1057.175
1,1,2,0,3,1,2,2,2,665.75
3,2,2,0,4,2,1,1,2,1434.2125
3,1,0,1,3,2,1,1,2,922.35
3,0,0,0,4,2,0,0,1,838.275
3,2,1,0,0,2,1,1,1,1223.05
4,1,0,1,2,2,1,1,1,1000.025
2,2,1,0,2,2,1,1,3,1196.4
3,3,3,0,2,1,2,2,1,1621.3375
5,3,2,0,2,0,1,1,2,1428.3375
4,2,0,1,4,2,0,1,1,1057.1
3,1,1,0,4,2,0,0,1,1011.0625
2,1,2,2,2,0,1,1,1,856.2
5,3,3,1,2,0,1,1,1,1547.875
0,2,2,6,2,0,2,1,1,666
5,4,0,0,1,1,1,0,3,760.2125
3,0,5,1,2,1,0,1,1,1136.3
5,4,5,0,1,2,0,0,1,1151.3875
3,2,3,0,1,2,1,1,1,1244.1375
3,1,1,1,2,2,0,0,2,778.0625
2,1,1,2,1,2,0,0,1,1175.1375
4,1,2,2,0,2,0,0,1,1032.2875
0,0,0,0,3,1,1,1,1,337
4,2,2,1,3,2,0,0,2,1368.15
2,1,1,1,2,2,2,2,1,1575.1625
5,1,1,1,2,2,2,2,2,1190.23125
2,2,2,0,1,2,2,2,3,1208.05
5,2,1,1,2,2,1,1,2,1469.4125
5,1,1,0,3,2,3,3,0,1413.8375
6,2,0,1,1,3,1,1,2,1184.3875
5,2,2,1,1,1,2,2,1,1296.25
1,1,2,0,2,2,1,0,3,980.575
5,2,1,0,3,2,2,2,2,1358.4125
5,2,0,3,1,0,2,2,2,968.7375
3,2,0,1,1,0,1,2,1,1141.125
2,3,1,1,2,2,2,1,1,1288.575
4,0,2,0,1,2,0,0,1,1250.4
4,2,2,0,2,1,1,1,0,890.85
3,2,3,0,2,0,2,1,2,1332.05
4,2,2,1,2,2,2,1,1,1409.45
3,0,0,1,4,1,1,1,1,886.475
3,3,3,1,1,2,2,1,1,1282.9125
0,0,0,0,2,1,1,1,1,645.3375
4,1,0,0,2,1,0,2,1,687.275
3,2,2,1,1,2,1,3,1,1188.8875
3,0,0,1,1,2,1,0,1,1380.2
0,1,0,0,3,2,1,1,1,837.35
4,2,1,0,3,1,2,2,2,1342.4375
3,3,0,2,2,2,2,1,2,822.55
3,1,1,1,2,0,1,1,1,701.025
3,1,1,1,3,1,1,1,2,1038.925
5,2,2,1,2,2,3,3,1,1399.0875
1,3,3,0,3,1,2,2,1,2640.2625
4,2,2,0,2,2,1,2,2,1600.8125
3,2,2,0,0,2,1,1,1,812.025
3,1,1,1,2,2,3,2,1,2636.5125
4,3,2,0,4,1,2,1,0,2505.0625
5,2,1,0,1,2,0,0,0,1885.825
6,3,3,0,1,2,1,1,0,2126.7875
2,1,2,0,1,0,1,1,2,1594.3
4,2,1,2,1,1,1,0,1,2069.4
5,1,1,0,3,2,1,1,1,813.65
5,2,1,1,2,1,1,1,1,1126.25
4,3,3,1,2,0,1,1,3,1086.3125
3,3,2,0,2,2,2,2,2,1056.325
2,3,2,2,2,1,1,1,0,1988.875
4,1,2,1,3,2,2,2,1,1639.65
4,2,0,0,2,1,0,0,1,1081.125
4,1,1,0,1,3,1,2,1,1414.65
3,3,0,0,3,1,1,1,2,1285.825
3,3,2,0,2,2,2,1,0,1229.3375
0,0,1,0,4,0,0,0,3,1131.15
3,1,1,0,4,2,1,0,3,1553.275
2,3,3,0,1,2,0,0,1,1812.6375
3,3,0,2,1,1,1,1,1,1150.325
4,5,4,1,2,2,1,1,1,2082.0625
3,2,2,3,2,1,1,3,1,1661.25
1,2,1,4,1,1,1,1,2,1993.3
6,3,3,0,1,1,2,1,1,1606.7875
4,2,1,0,1,1,1,1,1,1864.225
2,2,2,0,2,1,1,0,2,2909.425
0,3,3,0,0,0,2,1,2,1925.975
0,2,1,1,2,2,0,1,0,979.1
3,3,4,0,1,1,2,2,0,1080.275
3,0,0,0,0,0,0,0,1,1334.6875
1,3,3,0,4,1,2,2,0,2944.4
3,1,1,2,0,2,1,1,1,1400.6375
5,1,1,0,4,0,0,0,2,1045.45
5,1,1,1,2,1,0,0,1,1565.8
3,2,2,0,2,1,0,0,1,886.875
3,3,3,0,3,4,3,2,1,1775
3,2,2,0,2,2,2,2,1,1216.0125
5,1,1,0,3,1,1,1,1,1306.1
2,1,0,0,4,1,1,1,2,1089.825
4,1,3,0,2,2,0,0,2,948.65
0,4,3,1,1,1,2,1,1,1522.025
5,2,1,0,2,2,2,2,1,2136.00625
3,0,2,0,3,2,1,1,2,1043.025
7,4,2,1,1,3,1,2,1,2107.975
3,2,2,0,3,2,1,1,2,1082.25
5,5,4,1,4,2,1,1,1,1803.1125
4,1,0,0,0,0,2,1,1,535.95
4,1,1,0,2,4,3,0,3,942
4,2,1,1,2,2,2,1,2,1175.0625
2,1,1,3,2,2,1,1,2,1026.7125
2,1,0,0,1,1,3,2,1,947.4375
7,5,3,0,0,2,0,0,0,3346.9625
3,2,1,0,3,2,0,0,0,990.725
6,1,1,1,0,2,0,0,3,1465.3625
0,1,0,1,2,0,1,1,2,577.6
3,5,6,0,1,2,1,1,0,2863.45
3,3,2,0,1,1,1,1,2,1355.675
3,2,3,0,2,0,1,1,1,2462.3875
5,2,2,0,1,1,1,1,1,1197.0625
1,1,2,2,1,2,2,2,0,2175.6
3,1,1,0,3,1,1,1,1,1194.05
5,2,2,1,2,2,0,2,2,3340.9125
4,1,1,0,2,2,0,0,2,1130.2625
4,1,1,1,3,1,2,2,2,2352.1125
5,3,3,0,1,2,2,2,1,2488.375
4,3,2,0,2,2,1,1,1,1809.85
3,1,1,0,3,1,1,1,1,665.1
2,3,2,1,0,0,1,1,2,1151.275
4,4,2,0,2,2,1,2,0,1622.6
2,2,4,3,0,2,2,2,1,1914.0625
2,2,1,0,3,2,2,2,2,1376.2625
3,1,1,0,2,0,0,0,0,1824.1875
2,3,2,1,2,1,2,2,2,1423.15
2,1,0,1,4,2,1,1,2,665.25
1,2,0,2,3,0,1,1,0,1341
5,4,3,2,1,2,1,1,1,1800
3,2,2,1,2,1,2,2,1,1414.6
3,0,0,0,2,1,0,0,1,687.425
1,3,1,0,2,2,2,0,1,593.725
3,1,0,0,3,2,1,1,2,792.05
5,2,1,1,3,1,1,1,1,1049.7375
4,0,3,0,1,2,2,1,1,2073.2375
3,3,2,0,2,2,1,1,1,1029.075
1,2,2,1,2,1,1,1,1,1507.1125
5,1,0,0,3,1,1,1,1,1019.7875
5,3,1,0,1,2,1,1,0,1141.225
5,2,2,1,2,1,2,2,1,1784.825
2,1,1,0,1,2,1,1,1,1265.15
5,2,2,0,2,2,3,2,1,2339.1625
2,1,0,1,3,3,1,1,1,1000.525
2,2,2,0,2,1,0,0,2,958.25
3,1,1,0,2,3,2,2,1,704.275
5,3,2,0,2,2,1,1,1,966.275
5,2,1,1,2,2,1,1,0,902.1625
4,4,4,2,1,2,1,2,0,1608.7625
2,3,2,0,1,2,1,1,1,1770.9125
4,1,1,2,4,1,1,1,3,921.875
0,5,3,0,2,2,1,1,0,2207.4375
3,3,1,1,2,1,0,0,3,1043.325
6,2,2,1,1,2,2,2,1,999.2625
3,3,3,0,0,2,1,0,1,1346.9375
0,2,1,0,2,2,0,1,1,1228.6
5,2,2,0,2,2,1,1,2,2473.25
1,3,2,0,1,2,0,0,3,1236.6625
1,2,1,0,2,3,2,2,0,2098.075
4,3,2,1,3,2,1,2,1,1696.0875
5,1,1,0,3,2,0,0,1,1022.9125
5,2,2,3,0,1,1,2,2,2490.6875
3,2,2,0,0,2,2,2,2,2051.4625
4,2,1,1,3,3,2,2,0,1901.975
1,4,4,1,2,2,2,2,0,2729.3625
1,1,2,0,2,0,0,0,2,732.7125
0,3,1,3,1,2,1,1,3,2043.0125
2,2,2,2,1,2,1,1,1,1716.2125
2,1,0,2,4,2,1,1,1,695.975
5,1,2,1,4,2,2,2,3,1913.325
3,2,3,0,1,2,2,1,1,1736.7625
4,2,0,1,1,1,0,1,1,847.5125
5,2,2,0,0,2,1,2,1,1780.0375
4,3,2,2,2,2,3,3,1,1829.4125
5,3,2,1,3,2,2,1,1,1521.725
5,1,1,0,1,1,1,1,1,1090.9625
6,1,1,0,2,2,0,0,1,1769.975
3,2,2,1,3,1,1,1,1,1160.725
4,2,3,0,2,1,1,1,1,2021.625
3,4,2,1,2,1,1,1,1,1428.4875
0,2,2,0,0,3,2,2,1,1463.9875
5,3,1,1,3,3,1,1,1,822.9
3,3,2,0,2,0,1,0,0,1325.675
3,3,4,0,2,2,1,1,1,2220.725
3,1,0,0,1,3,2,2,1,854.1875
3,1,3,5,4,0,0,0,3,1757.05
1,3,4,1,1,1,1,1,0,1779.9375
3,3,3,0,2,0,2,2,0,1773.85
1,1,0,1,3,2,1,1,2,735.35
3,1,1,1,2,2,1,1,2,1682.55
6,2,2,0,2,2,2,2,1,1483.55
2,0,0,0,1,1,1,0,1,548.5
4,3,2,0,0,0,2,1,0,2262.7125
2,2,2,0,2,1,1,1,0,1532.5375
1,2,2,0,3,3,1,1,1,1118.825
4,2,2,0,1,2,0,0,1,1567.8625
3,3,2,0,0,2,2,2,1,1501.5375
4,1,0,0,3,2,2,2,2,1393.2625
7,3,3,0,2,2,1,1,0,1853.25
3,1,1,0,1,2,2,1,1,754.6875
6,4,2,0,0,1,2,2,2,2617.3625
5,3,2,0,2,3,1,1,1,1202.8625
2,3,3,0,2,1,2,1,0,2906.2125
2,3,4,2,0,0,2,2,1,2390.725
1,2,2,1,2,2,1,1,3,1665.2125
3,2,1,0,3,1,1,1,2,967.125
2,2,2,0,3,1,2,2,2,1312.43125
1,3,2,1,2,1,2,2,2,1473.275
5,1,2,0,0,2,2,2,0,1140.975
3,1,0,1,3,2,1,1,2,1369.6875
4,3,2,0,2,2,1,1,1,2125.1625